3 : [ 0 1 2 ]  accuracy : 0.9253246753246753, recall : 0.9253246753246753, precision : 0.9309010794400405, f1 : 0.8894351853879678, roc_auc : 0.5960335621662853
3 : [ 0 1 3 ]  accuracy : 0.9253246753246753, recall : 0.9253246753246753, precision : 0.9309010794400405, f1 : 0.8894351853879678, roc_auc : 0.6068649885583524
3 : [ 0 1 4 ]  accuracy : 0.9253246753246753, recall : 0.9253246753246753, precision : 0.9309010794400405, f1 : 0.8894351853879678, roc_auc : 0.607627765064836
3 : [ 0 1 5 ]  accuracy : 0.9253246753246753, recall : 0.9253246753246753, precision : 0.9309010794400405, f1 : 0.8894351853879678, roc_auc : 0.6076277650648361
3 : [ 0 1 6 ]  accuracy : 0.9253246753246753, recall : 0.9253246753246753, precision : 0.9309010794400405, f1 : 0.8894351853879678, roc_auc : 0.6076277650648361
3 : [ 0 1 7 ]  accuracy : 0.912621359223301, recall : 0.912621359223301, precision : 0.9202563860872844, f1 : 0.8709279976344192, roc_auc : 0.5939059627002888
3 : [ 0 1 8 ]  accuracy : 0.9453376205787781, recall : 0.9453376205787781, precision : 0.9483255963027677, f1 : 0.9187744147112754, roc_auc : 0.7410964385754302
3 : [ 0 1 9 ]  accuracy : 0.9453376205787781, recall : 0.9453376205787781, precision : 0.9483255963027677, f1 : 0.9187744147112754, roc_auc : 0.7410964385754302
3 : [ 0 1 10 ]  accuracy : 0.9453376205787781, recall : 0.9453376205787781, precision : 0.9483255963027677, f1 : 0.9187744147112754, roc_auc : 0.7410964385754302
3 : [ 0 1 11 ]  accuracy : 0.9453376205787781, recall : 0.9453376205787781, precision : 0.9483255963027677, f1 : 0.9187744147112754, roc_auc : 0.7410964385754302
3 : [ 0 1 12 ]  accuracy : 0.9453376205787781, recall : 0.9453376205787781, precision : 0.9483255963027677, f1 : 0.9187744147112754, roc_auc : 0.7374949979991997
3 : [ 0 1 13 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.6775414563806778
3 : [ 0 1 14 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.7191780821917808
3 : [ 0 1 15 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.6777217015140591
3 : [ 0 1 16 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.6775414563806778
3 : [ 0 1 17 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.6775414563806778
3 : [ 0 1 18 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.6714131218457101
3 : [ 0 1 19 ]  accuracy : 0.9288025889967637, recall : 0.9288025889967637, precision : 0.9338716603303275, f1 : 0.8945179296713798, roc_auc : 0.5331010452961673
3 : [ 0 1 20 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5894935514312677
3 : [ 0 1 21 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.6434178743961352
3 : [ 0 1 22 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.6429649758454106
3 : [ 0 1 23 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.5892210144927537
3 : [ 0 1 24 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.6372282608695652
3 : [ 0 1 25 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.6296799516908212
3 : [ 0 1 26 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.6296799516908212
3 : [ 0 1 27 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.5585748792270531
3 : [ 0 1 28 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.622433574879227
3 : [ 0 1 29 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.6296799516908212
3 : [ 0 1 30 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.6296799516908212
3 : [ 0 1 31 ]  accuracy : 0.9260450160771704, recall : 0.9260450160771704, precision : 0.9315143557241964, f1 : 0.8904873610358098, roc_auc : 0.6553442028985507
3 : [ 0 1 32 ]  accuracy : 0.9228295819935691, recall : 0.9228295819935691, precision : 0.9287848554088565, f1 : 0.8857929432513523, roc_auc : 0.6145470383275262
3 : [ 0 1 33 ]  accuracy : 0.9228295819935691, recall : 0.9228295819935691, precision : 0.9287848554088565, f1 : 0.8857929432513523, roc_auc : 0.6202090592334495
3 : [ 0 1 34 ]  accuracy : 0.9228295819935691, recall : 0.9228295819935691, precision : 0.9287848554088565, f1 : 0.8857929432513523, roc_auc : 0.6173054587688733
3 : [ 0 1 35 ]  accuracy : 0.9228295819935691, recall : 0.9228295819935691, precision : 0.9287848554088565, f1 : 0.8857929432513523, roc_auc : 0.6174506387921022
3 : [ 0 1 36 ]  accuracy : 0.9228295819935691, recall : 0.9228295819935691, precision : 0.9287848554088565, f1 : 0.8857929432513523, roc_auc : 0.616869918699187
3 : [ 0 1 37 ]  accuracy : 0.9228295819935691, recall : 0.9228295819935691, precision : 0.9287848554088565, f1 : 0.8857929432513523, roc_auc : 0.6174506387921022
