2 : [ 4 490 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8266041816870944
2 : [ 5 356 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8239005046863734
2 : [ 4 356 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8235400144196108
2 : [ 2 490 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8233597692862293
2 : [ 5 218 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8211968276856525
2 : [ 6 490 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8208363374188896
2 : [ 3 490 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8201153568853641
2 : [ 3 356 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.818673395818313
2 : [ 2 356 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8179524152847872
2 : [ 6 356 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8177721701514058
2 : [ 2 218 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8161499639509733
2 : [ 6 218 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8143475126171593
2 : [ 3 218 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8139870223503965
2 : [ 4 83 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.80155010814708
2 : [ 15 112 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.8013626834381551
2 : [ 5 83 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.8010093727469357
2 : [ 9 112 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.80083857442348
2 : [ 13 112 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.800314465408805
2 : [ 12 112 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7971698113207547
2 : [ 2 83 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.7957822638788752
2 : [ 6 83 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.7950612833453498
2 : [ 3 83 ]  accuracy : 0.9389067524115756, recall : 0.9389067524115756, precision : 0.9426391373124762, f1 : 0.909322625884511, roc_auc : 0.793439077144917
2 : [ 10 112 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7929769392033543
2 : [ 17 112 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7914046121593291
2 : [ 15 385 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7866876310272537
2 : [ 15 519 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7856394129979035
2 : [ 9 385 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7845911949685533
2 : [ 16 519 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7840670859538784
2 : [ 19 519 ]  accuracy : 0.9171597633136095, recall : 0.9171597633136095, precision : 0.9240222681278666, f1 : 0.8775294031704289, roc_auc : 0.7838709677419355
2 : [ 16 385 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7835429769392034
2 : [ 15 247 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7835429769392033
2 : [ 19 247 ]  accuracy : 0.9171597633136095, recall : 0.9171597633136095, precision : 0.9240222681278666, f1 : 0.8775294031704289, roc_auc : 0.7834101382488479
2 : [ 12 385 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7830188679245285
2 : [ 8 112 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7830188679245282
2 : [ 19 385 ]  accuracy : 0.9171597633136095, recall : 0.9171597633136095, precision : 0.9240222681278666, f1 : 0.8775294031704289, roc_auc : 0.7829493087557603
2 : [ 9 519 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7824947589098533
2 : [ 13 385 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7819706498951781
